share,db,model
PREMIERLEA,1627754400.0,1627754400.0
PRIME1ICBA,1675188000.0,1675188000.0
PRIMEBANK,1596218400.0,1596218400.0
PRIMEFIN,1627754400.0,1627754400.0
PRIMEINSUR,1675188000.0,1675188000.0
PRIMELIFE,1596218400.0,1596218400.0
PRIMETEX,1596218400.0,1596218400.0
PROGRESLIF,1596218400.0,1596218400.0
PROVATIINS,1596218400.0,1596218400.0
PTL,1596218400.0,1596218400.0
PUBALIBANK,1596218400.0,1596218400.0
PURABIGEN,1596218400.0,1596218400.0
QUASEMIND,1675188000.0,1675188000.0
QUEENSOUTH,1596218400.0,1596218400.0
RAHIMAFOOD,1596218400.0,1596218400.0
RAHIMTEXT,1612116000.0,1612116000.0
RAKCERAMIC,1596218400.0,1596218400.0
RANFOUNDRY,1596218400.0,1596218400.0
RDFOOD,1596218400.0,1596218400.0
RECKITTBEN,1596218400.0,1596218400.0
REGENTTEX,1675188000.0,1675188000.0
RELIANCE1,1596218400.0,1596218400.0
RELIANCINS,1596218400.0,1596218400.0
RENATA,1596218400.0,1596218400.0
RENWICKJA,1596218400.0,1596218400.0
REPUBLIC,1596218400.0,1596218400.0
RINGSHINE,1596218400.0,1596218400.0
RNSPIN,1675188000.0,1675188000.0
ROBI,1596218400.0,1596218400.0
RSRMSTEEL,1596218400.0,1596218400.0
RUNNERAUTO,1596218400.0,1596218400.0
RUPALIBANK,1596218400.0,1596218400.0
RUPALIINS,1596218400.0,1596218400.0
RUPALILIFE,1596218400.0,1596218400.0
SADHESIVE,1643652000.0,1643652000.0
SAFKOSPINN,1596218400.0,1596218400.0
SAIFPOWER,1596218400.0,1596218400.0
SAIHAMCOT,1627754400.0,1627754400.0
SAIHAMTEX,1596218400.0,1596218400.0
SALAMCRST,1675188000.0,1675188000.0
SALVOCHEM,1627754400.0,1627754400.0
SAMATALETH,1596218400.0,1596218400.0
SAMORITA,1596218400.0,1596218400.0
SANDHANINS,1596218400.0,1596218400.0
SAPORTL,1596218400.0,1596218400.0
SAVAREFR,1690740000.0,1690740000.0
SBACBANK,1612116000.0,1612116000.0
SEAPEARL,1612116000.0,1612116000.0
SEMLFBSLGF,1627754400.0,1627754400.0
SEMLIBBLSF,1675188000.0,1675188000.0
SEMLLECMF,1675188000.0,1675188000.0
SHAHJABANK,1596218400.0,1596218400.0
SHASHADNIM,1627754400.0,1627754400.0
SHEPHERD,1675188000.0,1675188000.0
SHURWID,1596218400.0,1596218400.0
SHYAMPSUG,1596218400.0,1596218400.0
SIBL,1596218400.0,1596218400.0
SICL,1675188000.0,1675188000.0
SILCOPHL,1596218400.0,1596218400.0
SILVAPHL,1627754400.0,1627754400.0
SIMTEX,1596218400.0,1596218400.0
SINGERBD,1596218400.0,1596218400.0
SINOBANGLA,1596218400.0,1596218400.0
SKICL,1612116000.0,1612116000.0
SKTRIMS,1596218400.0,1596218400.0
SONALIANSH,1596218400.0,1596218400.0
SONALILIFE,1612116000.0,1612116000.0
SONALIPAPR,1627754400.0,1627754400.0
SONARBAINS,1596218400.0,1596218400.0
SONARGAON,1596218400.0,1596218400.0
SOUTHEASTB,1627754400.0,1627754400.0
SPCERAMICS,1596218400.0,1596218400.0
SPCL,1596218400.0,1596218400.0
SQUARETEXT,1596218400.0,1596218400.0
SQURPHARMA,1596218400.0,1596218400.0
SSSTEEL,1596218400.0,1596218400.0
STANCERAM,1596218400.0,1596218400.0
STANDARINS,1596218400.0,1596218400.0
STANDBANKL,1596218400.0,1596218400.0
STYLECRAFT,1596218400.0,1596218400.0
SUMITPOWER,1596218400.0,1596218400.0
SUNLIFEINS,1596218400.0,1596218400.0
TAKAFULINS,1596218400.0,1596218400.0
TALLUSPIN,1675188000.0,1675188000.0
TAMIJTEX,1612116000.0,1612116000.0
TECHNODRUG,1706724000.0,1706724000.0
TILIL,1675188000.0,1675188000.0
TITASGAS,1596218400.0,1596218400.0
TOSRIFA,1596218400.0,1596218400.0
TRUSTB1MF,1596218400.0,1596218400.0
TRUSTBANK,1596218400.0,1596218400.0
TUNGHAI,1627754400.0,1627754400.0
UCB,1596218400.0,1596218400.0
UCB2PBOND,1706724000.0,1706724000.0
UNILEVERCL,1596218400.0,1596218400.0
UNIONBANK,1612116000.0,1612116000.0
UNIONCAP,1675188000.0,1675188000.0
UNIONINS,1612116000.0,1612116000.0
UNIQUEHRL,1596218400.0,1596218400.0
UNITEDFIN,1596218400.0,1596218400.0
UNITEDINS,1596218400.0,1596218400.0
UPGDCL,1596218400.0,1596218400.0
USMANIAGL,1596218400.0,1596218400.0
UTTARABANK,1596218400.0,1596218400.0
UTTARAFIN,1596218400.0,1596218400.0
VAMLBDMF1,1627754400.0,1627754400.0
VAMLRBBF,1675188000.0,1675188000.0
VFSTDL,1596218400.0,1596218400.0
WALTONHIL,1596218400.0,1596218400.0
WATACHEM,1675188000.0,1675188000.0
WEBCOATS,1706724000.0,1706724000.0
WMSHIPYARD,1596218400.0,1596218400.0
WONDERTOYS,1643652000.0,1643652000.0
YPL,1596218400.0,1596218400.0
YUSUFLOUR,1675188000.0,1675188000.0
ZAHEENSPIN,1596218400.0,1596218400.0
ZAHINTEX,1596218400.0,1596218400.0
ZEALBANGLA,1596218400.0,1596218400.0
__summary__,,
